time,imu,xaxis,yaxis,zaxis,xaccel,yaccel,zaccel
0,0,-4.38,-7.31,5.54,-0.12,-0.03,-0.03
16,1,-4.22,7.59,3.97,-0.01,-0.07,-0.02
31,2,-9.42,0.23,-1.50,-0.09,-0.02,0.01
47,3,-9.33,-1.90,0.17,0.01,-0.02,-0.05
63,4,-9.39,-1.75,-0.93,-0.03,0.01,-0.03
79,5,-9.15,1.44,-2.80,-0.09,-0.01,0.00
94,0,-4.32,-7.29,5.62,-0.12,-0.04,-0.03
110,1,-4.20,7.57,4.05,-0.01,-0.07,-0.02
126,2,-9.35,0.29,-1.56,-0.07,-0.02,0.01
141,3,-9.35,-1.92,0.17,0.00,-0.01,-0.05
157,4,-9.38,-1.77,-1.00,-0.04,0.01,-0.03
173,5,-9.12,1.53,-2.79,-0.09,-0.01,0.01
188,0,-4.40,-7.30,5.55,-0.12,-0.04,-0.03
205,1,-4.12,7.57,4.07,-0.01,-0.07,-0.02
220,2,-9.37,0.26,-1.47,-0.07,-0.02,0.01
236,3,-9.36,-1.98,0.27,-0.01,-0.01,-0.05
252,4,-9.43,-1.75,-1.03,-0.03,0.01,-0.02
267,5,-9.17,1.47,-2.77,-0.08,-0.02,0.01
283,0,-4.33,-7.25,5.59,-0.12,-0.04,-0.03
299,1,-4.17,7.69,3.76,-0.01,-0.07,-0.02
315,2,-9.35,-0.65,-1.46,0.06,0.01,0.01
330,3,-9.20,-1.70,-0.16,-0.30,0.05,-0.10
346,4,-9.24,-2.35,-0.79,-0.17,-0.01,-0.09
362,5,-9.07,2.03,-2.67,-0.10,-0.02,0.11
378,0,-4.49,-7.30,5.63,-0.13,0.03,-0.09
393,1,-4.80,8.67,3.68,-0.06,-0.06,0.33
409,2,-9.32,-1.35,-1.59,0.31,0.01,0.22
425,3,-8.55,-1.78,0.35,0.28,0.17,-0.47
441,4,-9.18,-2.24,-1.88,-0.15,-0.19,-0.14
456,5,-9.04,2.66,-2.03,-0.19,-0.00,0.14
472,0,-4.24,-7.36,5.48,-0.21,0.13,-0.16
488,1,-2.32,8.21,2.04,-0.12,0.39,0.18
504,2,-9.81,0.96,-2.20,-0.19,-0.14,0.16
520,3,-8.79,-2.62,-0.06,-0.38,0.11,-0.27
535,4,-9.22,-2.56,-1.46,0.11,-0.19,0.08
551,5,-9.07,2.26,-2.41,-0.15,0.33,-0.15
567,0,-4.27,-7.45,5.36,-0.04,-0.11,0.04
582,1,-4.69,6.45,4.81,-0.21,0.48,0.26
599,2,-9.52,-1.61,-1.84,-0.26,-0.29,0.41
614,3,-9.07,-4.55,0.15,-1.06,-0.10,0.09
631,4,-8.78,-4.81,-1.25,-0.17,-0.32,-0.32
646,5,-10.85,2.18,-3.09,-0.40,0.54,-0.73
661,0,-4.22,-7.38,5.49,0.01,-0.17,0.16
678,1,-3.81,7.78,3.84,-0.17,0.00,-0.12
693,2,-10.47,-1.03,-0.83,-0.35,-0.27,1.38
709,3,-8.46,-2.43,0.41,-0.89,0.01,0.18
725,4,-10.17,-5.87,-0.01,0.74,-0.10,-1.29
741,5,-10.14,0.08,-3.57,0.18,0.38,-0.34
756,0,-5.18,-12.17,8.22,-0.43,1.07,1.49
772,1,-4.18,7.69,3.91,-0.01,0.03,-0.06
788,2,-11.11,0.28,-0.69,0.46,-0.29,1.63
804,3,-9.60,-1.17,-1.74,-0.20,0.15,-0.08
820,4,-11.47,-2.00,-0.51,1.12,0.30,-1.25
835,5,-8.85,1.64,-4.41,0.27,0.11,-0.23
851,0,3.89,-12.66,5.68,0.92,-0.30,-0.17
867,1,-4.14,7.53,4.02,0.03,-0.06,-0.10
882,2,-5.17,1.02,0.78,0.76,-0.20,-1.02
899,3,-9.46,-1.63,-1.20,0.08,0.05,-0.17
914,4,-8.32,-2.35,0.89,0.25,0.17,-0.38
931,5,-8.83,1.81,-4.16,0.08,-0.04,-0.40
946,0,0.50,-8.93,6.31,0.19,-0.63,-2.00
961,1,-4.26,7.54,4.05,0.03,-0.09,-0.14
978,2,-9.73,1.61,-0.51,0.10,-0.42,-3.07
993,3,-9.39,-1.59,-0.69,-0.01,-0.03,-0.39
1008,4,-7.41,-3.22,1.94,0.19,0.05,-0.01
1025,5,-9.00,0.75,-3.72,0.11,-0.05,-0.31
1040,0,-12.05,-13.50,6.62,-0.74,0.24,-1.44
1056,1,-4.21,7.54,4.02,0.15,0.02,-0.16
1072,2,-10.39,-1.66,-2.25,0.74,0.21,-2.32
1088,3,-9.76,-2.42,-0.95,0.13,-0.06,-0.53
1104,4,-7.98,-6.12,-0.43,-0.80,0.20,0.13
1120,5,-9.51,1.35,-4.41,-0.10,-0.22,-0.46
1135,0,-12.50,-2.40,5.05,-1.01,-1.18,-1.41
1152,1,-4.42,7.78,3.86,0.21,0.19,-0.30
