IMU_No   AccX,AccY,AccZ,GyroX,GyroY,GyroZ
IMU 1    3332,15244,-6904,-118,4,89
IMU 2    -15616,-908,1012,-128,36,40
IMU 3    -15816,-3504,-820,155,-10,4
IMU 1    3180,15356,-6824,-119,5,83
IMU 2    -15540,-1016,932,-128,27,45
IMU 3    -15800,-3576,-756,161,-4,3
IMU 1    3316,15236,-6828,-123,-3,84
IMU 2    -15528,-872,852,-171,17,59
IMU 3    -15852,-3576,-708,158,-6,-4
IMU 1    3216,15216,-6936,-116,7,87
IMU 2    -15600,-876,916,-117,22,25
IMU 3    -15836,-3576,-824,142,-9,10
IMU 1    3172,15224,-6812,-123,5,84
IMU 2    -15444,-904,920,-140,23,48
IMU 3    -15876,-3656,-904,142,-16,10
IMU 1    3124,15228,-6944,-125,2,82
IMU 2    -15688,-916,840,-139,22,56
IMU 3    -15828,-3652,-788,145,-13,12
IMU 1    3264,15184,-6892,-124,5,88
IMU 2    -15572,-852,996,-127,38,40
IMU 3    -15776,-3492,-712,142,-6,35
IMU 1    3212,15372,-6916,-118,7,89
IMU 2    -15400,-916,1152,-119,31,46
IMU 3    -15784,-3568,-788,149,-5,5
IMU 1    3192,15400,-6916,-113,5,87
IMU 2    -15516,-856,1084,-122,28,37
IMU 3    -15844,-3528,-728,145,-3,6
IMU 1    3120,15340,-7060,-121,7,85
IMU 2    -15424,-920,1144,-126,35,60
IMU 3    -15836,-3540,-772,146,-4,4
IMU 1    3032,15152,-7028,-115,2,90
IMU 2    -15556,-872,1124,-123,47,92
IMU 3    -15844,-3576,-764,131,-6,2
IMU 1    3200,15236,-6972,-139,-43,104
IMU 2    -15588,-876,956,-83,32,27
IMU 3    -15816,-3484,-880,127,6,13
IMU 1    3204,15296,-6968,-105,-3,95
IMU 2    -15544,-864,952,-117,27,36
IMU 3    -15828,-3564,-900,125,7,11
IMU 1    3036,15208,-6912,-145,-90,126
IMU 2    -15560,-972,828,-180,38,33
IMU 3    -15756,-3568,-924,137,26,15
IMU 1    3300,15276,-6888,-159,-172,150
IMU 2    -15488,-548,1112,-132,22,41
IMU 3    -15860,-3452,-1072,136,1,-9
IMU 1    3348,15204,-6836,-142,-102,125
IMU 2    -15516,-780,1036,-112,29,18
IMU 3    -15812,-3512,-792,154,2,-4
IMU 1    3380,15444,-7228,-110,-7,119
IMU 2    -15504,-760,916,-124,30,39
IMU 3    -15820,-3516,-872,137,-19,-33
IMU 1    3404,15292,-6764,-126,1,85
IMU 2    -15496,-692,1104,-123,29,29
IMU 3    -15900,-3564,-984,153,-14,-1
IMU 1    3188,15224,-7044,-118,3,92
IMU 2    -15564,-924,1084,-111,24,21
IMU 3    -15744,-3532,-964,148,-17,-6
IMU 1    3208,15272,-6844,-113,2,72
IMU 2    -15624,-848,1024,-104,22,7
IMU 3    -15872,-3564,-884,156,-25,-12
IMU 1    3120,15140,-6804,-121,6,87
IMU 2    -15556,-916,1160,-129,32,27
IMU 3    -15880,-3528,-880,166,-41,-11
IMU 1    3320,15136,-6936,-110,3,104
IMU 2    -15504,-784,868,-128,27,22
IMU 3    -15820,-3628,-824,148,-33,-25
IMU 1    3260,15316,-7040,-123,-1,92
IMU 2   -15556,-1012,1128,-124,25,29
IMU 3   -15804,-3560,-784,142,-24,-18
IMU 1   3208,15260,-6860,-131,-30,99
IMU 2   -15608,-1072,988,-165,21,15
IMU 3   -15828,-3632,-900,148,-13,-5
IMU 1   3232,15276,-6968,-131,-51,114
IMU 2   -15464,-1152,852,-175,38,46
IMU 3   -15712,-3680,-812,160,-8,4
IMU 1   3360,15356,-6896,-133,-13,95
IMU 2   -15660,-696,780,-134,19,28
IMU 3   -15824,-3636,-840,131,-23,-18
IMU 1   3256,15312,-7340,-107,-84,109
IMU 2   -15496,-1176,828,-108,24,12
IMU 3   -15816,-3708,-760,134,-20,-15
IMU 1   3200,14764,-6992,-251,-257,167
IMU 2   -15496,-1088,1108,-95,35,55
IMU 3   -15852,-3628,-748,155,-31,-12
IMU 1   3564,16632,-7604,18,-387,384
IMU 2   -15512,-1056,1100,-144,30,31
IMU 3   -15916,-3692,-788,139,-12,25
IMU 1   3468,13932,-7268,26,-320,221
IMU 2   -15592,-1036,1016,-99,5,52
IMU 3   -15812,-3600,-528,152,-18,-4
IMU 1   2988,14740,-7864,70,-351,243
IMU 2   -15560,-1252,836,13,14,-18
IMU 3   -15756,-3632,-800,206,9,75
IMU 1   3928,13876,-6744,284,-310,505
IMU 2   -15520,-828,900,-84,18,8
IMU 3   -15868,-3464,-860,162,-10,43
IMU 1   3484,15268,-5636,-472,-332,106
IMU 2   -15484,-956,1080,-77,22,52
IMU 3   -15896,-3508,-724,154,-39,-6
IMU 1   2260,15340,-4436,-908,-301,-36
IMU 2   -15628,-824,1264,-152,6,26
IMU 3   -15876,-3504,-816,160,-16,-27
IMU 1   3684,14996,-5272,-146,-157,220
IMU 2   -15500,-936,1128,-233,16,69
IMU 3   -15772,-3612,-820,146,-40,-32
IMU 1   3520,15036,-5912,-234,64,-32
IMU 2   -15504,-1292,1024,-147,18,27
IMU 3   -15876,-3572,-692,170,-11,5
IMU 1   3048,15188,-7252,0,172,23
IMU 2   -15576,-972,1184,-29,14,25
IMU 3   -15800,-3624,-672,174,-29,7
IMU 1   3052,15300,-6672,-206,29,61
IMU 2   -15508,-724,1148,-22,12,25
IMU 3   -15848,-3588,-640,183,-36,-14
IMU 1   3276,15200,-6872,-68,31,110
IMU 2   -15404,-948,1268,-84,17,-2
IMU 3   -15812,-3576,-528,155,-31,-1
IMU 1   3144,15260,-6852,-142,18,64
IMU 2   -15632,-968,1276,-109,16,0
IMU 3   -15848,-3644,-584,146,-19,-12
IMU 1   3124,15216,-6892,-108,9,70
IMU 2   -15452,-884,1068,-121,15,-13
IMU 3   -15892,-3616,-692,153,-24,-20
IMU 1   3204,15320,-6836,-124,21,83
IMU 2   -15532,-1092,1200,-115,13,-9
IMU 3   -15864,-3684,-512,141,-26,-28
IMU 1   3100,15384,-7040,-110,4,88
IMU 2   -15416,-1296,1196,-111,8,-77
IMU 3   -15800,-3696,-540,157,3,12
IMU 1   3160,15268,-7072,-126,25,83
IMU 2   -15576,-1376,1276,-117,10,-20
IMU 3   -15796,-3712,-528,141,-16,-3
IMU 1   2572,15364,-6588,-108,113,-10
IMU 2   -15360,-1412,1420,-179,-53,-3
IMU 3   -15716,-3932,-332,153,3,-19
IMU 1   1876,16416,-7648,-162,33,-28
IMU 2   -16548,96,476,-89,-145,200
IMU 3   -16168,-3308,-1608,26,-283,-109
IMU 1   2124,15336,-6152,-238,-95,166
IMU 2   -15404,464,1844,154,-230,775
IMU 3   -16128,-3804,-316,389,-711,-645
IMU 1   2168,14020,-6052,116,-53,124
IMU 2   -14428,4700,28,1034,1,1924
IMU 3   -18340,-4264,-624,949,-1559,-1860
IMU 1   2088,14284,-6180,-254,37,188
IMU 2   -16248,3620,3976,825,-847,3057
IMU 3   -18144,-3164,572,998,-1901,-2348
IMU 1   2692,15680,-7496,-537,340,-66
IMU 2   -13404,5024,2252,-126,-35,1970
IMU 3   -10928,1252,-1852,1053,922,790
IMU 1   4380,18040,-6624,-218,271,22
IMU 2   -12616,5460,2404,-626,125,1024
IMU 3   -16924,-2688,-824,-1096,2640,3343
IMU 1   816,18380,-8428,129,368,25
IMU 2   -12008,9192,2488,236,335,424
IMU 3   -18532,-5148,-1292,-944,2390,3411
IMU 1   4452,13788,-5132,-67,13,59
IMU 2   -11056,9184,1944,591,541,-456
IMU 3   -15652,-6880,-1764,167,1712,2267
IMU 1   612,10176,228,192,-327,262
IMU 2   -12920,9988,904,295,191,-1510
IMU 3   -14912,-5296,5372,565,169,-597
IMU 1   428,12468,-2924,84,-466,111
IMU 2   -24060,14492,6428,187,515,-1496
IMU 3   -25220,-7660,4840,-998,-1394,-3190
IMU 1   4264,17384,-9224,-48,-49,338
IMU 2   -16368,7792,188,-1109,433,-1531
IMU 3   -16084,-2176,1636,103,-1189,-1286
IMU 1   4592,12768,-1664,450,-217,408
IMU 2   -14860,24,484,320,428,-2010
IMU 3   -15812,-2804,-564,804,-783,-979
IMU 1   836,11532,-4036,-444,-265,-309
IMU 2   -15776,456,712,-1473,185,-1414
IMU 3   -15368,-5188,904,400,-724,-948
IMU 1   2832,20224,-6980,-331,213,-144
IMU 2   -15592,704,-356,-795,272,-2224
IMU 3   -16160,-5888,-288,389,-476,-751
IMU 1   5680,16260,-6860,239,-182,339
IMU 2   -16404,-2112,-968,466,304,-1152
