Time,Acc X,Acc Y,Acc Z,Gyro X,Gyro Y,Gyro Z,Phase
0,-0.24,-0.05,-0.08,3.19,-1.43,-0.21,No Movement
0.03,-0.24,-0.05,-0.08,3.17,-1.36,-0.38,No Movement
0.05,-0.24,-0.04,-0.08,3.05,-1.29,-0.54,No Movement
0.08,-0.24,-0.04,-0.08,2.93,-1.23,-0.77,No Movement
0.12,-0.24,-0.04,-0.08,2.87,-1.11,-1.14,No Movement
0.16,-0.24,-0.04,-0.08,2.79,-1.07,-1.33,No Movement
0.2,-0.24,-0.05,-0.08,2.79,-1.03,-1.57,No Movement
0.25,-0.24,-0.05,-0.08,2.84,-0.94,-1.57,No Movement
0.29,-0.24,-0.05,-0.08,2.81,-0.8,-1.57,No Movement
0.33,-0.24,-0.05,-0.08,2.8,-0.83,-1.26,No Movement
0.37,-0.24,-0.05,-0.07,2.71,-0.76,-1,No Movement
0.41,-0.24,-0.05,-0.07,2.7,-0.72,-0.65,No Movement
0.45,-0.24,-0.05,-0.08,2.73,-0.69,-0.45,No Movement
0.5,-0.24,-0.05,-0.07,2.75,-0.6,-0.35,No Movement
0.54,-0.23,-0.05,-0.07,2.47,-0.2,-0.21,No Movement
0.58,-0.24,-0.05,-0.07,1.62,0.64,0.44,No Movement
0.62,-0.24,-0.05,-0.08,1.11,0.32,1.27,No Movement
0.66,-0.24,-0.05,-0.08,-2.11,-1.08,2.1,No Movement
0.7,-0.24,-0.04,-0.08,0.64,-1.49,2.19,No Movement
0.74,-0.24,-0.03,-0.08,2.59,-1.8,1.39,No Movement
0.78,-0.24,-0.04,-0.08,3.6,-2.67,0.61,No Movement
0.82,-0.24,-0.04,-0.08,4.04,-3.68,0.02,No Movement
0.86,-0.24,-0.03,-0.07,4.81,-4.58,-0.74,No Movement
0.9,-0.24,-0.03,-0.07,5.71,-4.98,-1.87,No Movement
0.94,-0.24,-0.04,-0.06,4.79,-4,-3.48,No Movement
0.99,-0.24,-0.04,-0.06,3.47,-2.97,-5.13,No Movement
1.03,-0.24,-0.04,-0.06,2.35,-2.42,-7.01,No Movement
1.07,-0.25,-0.04,-0.06,1.5,-1.92,-9.19,No Movement
1.11,-0.25,-0.05,-0.05,2.02,-0.85,-11.73,No Movement
1.15,-0.27,-0.06,-0.07,1.62,1.42,-11.47,No Movement
1.2,-0.25,-0.07,-0.06,1.14,2.02,-11.95,No Movement
1.24,-0.25,-0.07,-0.08,2.59,1.72,-11.43,No Movement
1.28,-0.24,-0.06,-0.09,2.87,-1.42,-9.58,No Movement
1.32,-0.23,0.04,-0.07,3.97,0.11,-2.62,No Movement
1.36,-0.22,0.04,-0.05,0.26,0.46,4.77,No Movement
1.4,-0.22,0.02,-0.04,-4.49,-0.52,11.16,No Movement
1.44,-0.23,-0.02,-0.09,-9.13,-3.29,16.42,No Movement
1.48,-0.2,-0.06,-0.06,2.22,2.43,9.26,No Movement
1.52,-0.23,-0.17,-0.1,7.07,0.9,-3.48,No Movement
1.56,0.02,-0.18,0.13,18.46,8.42,-3.99,No Movement
1.6,-0.26,0.02,0,12.78,-2.81,4.63,No Movement
1.64,-0.21,-0.11,-0.01,-3.94,1.69,-1.88,No Movement
1.68,-0.23,-0.07,-0.08,-2.59,-0.99,5.18,No Movement
1.72,-0.25,-0.05,-0.13,0.69,1.56,3.55,No Movement
1.76,-0.25,-0.04,-0.09,4.94,2.12,2.9,No Movement
1.8,-0.25,-0.05,-0.05,4.42,2.7,0.46,No Movement
1.84,-0.24,-0.06,-0.05,1.81,2.63,-1.23,No Movement
1.88,-0.23,-0.05,-0.1,1.69,2.72,-1.62,No Movement
1.92,-0.23,-0.06,-0.09,3.18,2.83,-1.37,No Movement
1.97,-0.23,-0.06,-0.07,2.47,3.05,-0.86,No Movement
2.01,-0.23,-0.06,-0.08,1.26,3.58,-0.1,No Movement
2.05,-0.23,-0.07,-0.09,0.5,3.73,1.06,No Movement
2.09,-0.22,-0.06,-0.1,-2.82,4.02,3.68,No Movement
2.13,-0.25,-0.03,-0.09,-3.7,4.32,2.84,No Movement
2.17,-0.24,-0.04,-0.11,-1.88,3.98,2.06,No Movement
2.21,-0.24,-0.04,-0.13,0.94,2.16,1.13,No Movement
2.25,-0.24,-0.05,-0.11,2.39,0.75,0.97,No Movement
2.29,-0.23,-0.04,-0.11,2.69,-0.57,1.24,No Movement
2.33,-0.23,-0.04,-0.11,3.03,-0.94,0.59,No Movement
2.37,-0.23,-0.04,-0.11,2.62,-0.43,-0.49,No Movement
2.41,-0.23,-0.04,-0.11,2.2,0.1,-2.26,No Movement
2.45,-0.23,-0.04,-0.11,1.95,0.14,-3.49,No Movement
2.49,-0.23,-0.04,-0.11,2.45,0.34,-3.95,No Movement
2.53,-0.23,-0.04,-0.11,4.27,0.77,-5.22,No Movement
2.57,-0.24,-0.04,-0.11,5.68,0.79,-6.23,No Movement
2.61,-0.24,-0.04,-0.11,6.17,-0.29,-8.24,No Movement
2.65,-0.24,-0.06,-0.11,4.84,-1.42,-10.94,No Movement
2.7,-0.23,-0.08,-0.1,3.33,-2.26,-11.51,Heel Liftoff
2.74,-0.23,-0.07,-0.12,3.89,-1.46,-10.91,Heel Liftoff
2.78,-0.24,-0.08,-0.1,4.97,0.24,-10.74,Heel Liftoff
2.82,-0.25,-0.08,-0.12,5.45,0.32,-11.08,Heel Liftoff
2.86,-0.26,-0.08,-0.1,7.84,0.42,-14.56,Heel Liftoff
2.91,-0.28,-0.07,-0.1,8.84,-0.42,-21.05,Heel Liftoff
2.95,-0.3,-0.06,-0.1,9.99,0.19,-30.61,Foot Liftoff
2.99,-0.32,-0.07,-0.06,12.88,0.21,-40.58,Foot Liftoff
3.03,-0.31,-0.11,-0.11,9.47,4.25,-52.93,Foot Liftoff
3.07,-0.31,-0.16,-0.15,8.26,5.97,-50.2,Foot Liftoff
3.12,-0.14,-0.07,-0.1,2.87,1.72,-39.38,Foot Liftoff
3.16,0.03,-0.21,-0.11,12.2,1.27,-8.42,Foot Liftoff
3.2,-0.09,0.02,-0.06,6.94,-2.99,25.12,Foot Liftoff
3.24,-0.11,0,-0.04,1.89,-11.47,31.1,Foot Liftoff
3.28,-0.14,-0.04,-0.07,-2.91,-12.23,47.14,Foot Liftoff
3.32,-0.19,0,-0.08,-8,-13.05,61.46,Foot Liftoff
3.37,-0.28,-0.03,-0.06,-9.52,-10.68,63.87,Foot Liftoff
3.41,-0.39,-0.12,-0.14,-7.84,-10.75,59.56,Foot Liftoff
3.46,-0.4,-0.13,-0.12,-11.45,-11.44,64.08,Heel Landing
3.5,-0.37,-0.19,-0.11,-12.1,-11.55,52.91,Heel Landing
3.54,-0.26,-0.3,-0.17,-7.71,-8.55,33.45,Heel Landing
3.59,-0.18,-0.27,-0.14,-1.71,-0.72,5.85,Foot Landing
3.63,-0.58,-0.12,-0.23,-0.5,22.71,-28.2,Foot Landing
3.67,-0.2,0.15,0.03,-4.59,4.08,-27.81,Foot Landing
3.71,-0.32,-0.21,-0.1,0.77,9.15,-26.6,Foot Landing
3.76,-0.23,0.02,-0.09,2.83,11.59,-15.74,Foot Landing
3.8,-0.24,-0.05,-0.11,2.78,6.39,-11.92,Foot Landing
3.84,-0.24,-0.01,-0.08,1.69,4.94,-9.75,Foot Landing
3.88,-0.24,-0.02,-0.1,1.1,4.53,-6.27,Foot Landing
3.92,-0.24,-0.02,-0.1,2.91,3.03,-4.05,Foot Landing
3.96,-0.24,-0.03,-0.1,3.18,2.78,-2.53,Foot Landing
4,-0.23,-0.02,-0.12,3.87,2.17,-1.98,Foot Landing
4.04,-0.23,-0.02,-0.11,4.91,1.78,-2.01,Foot Landing
4.08,-0.24,-0.03,-0.11,5.56,1.59,-2.62,Foot Landing
4.12,-0.23,-0.01,-0.11,5.12,1.5,-4.47,Foot Landing
4.16,-0.23,-0.01,-0.12,3.27,2.24,-8.13,Foot Landing
4.2,-0.23,-0.03,-0.1,2.07,1.9,-11.54,Foot Landing
4.24,-0.24,-0.05,-0.1,4.42,1.83,-11.72,Foot Landing
4.29,-0.26,-0.05,-0.1,7.16,-0.51,-13.49,Heel Liftoff
4.33,-0.26,-0.04,-0.12,3.49,-1.27,-15.21,Heel Liftoff
4.37,-0.28,-0.07,-0.13,6.78,2.67,-18.65,Heel Liftoff
4.41,-0.35,-0.04,-0.14,12.99,7.16,-27.64,Heel Liftoff
4.46,-0.42,-0.01,-0.07,16.58,8.71,-43.28,Foot Liftoff
4.5,-0.42,0.02,-0.08,21.16,6.26,-64.35,Foot Liftoff
4.54,-0.32,-0.45,-0.22,8.5,18.03,-72.87,Foot Liftoff
4.58,-0.21,0.12,-0.07,13.13,7.19,-52.72,Foot Liftoff
4.62,-0.02,-0.27,-0.13,29.56,-3.9,-29.61,Foot Liftoff
4.67,-0.08,0.04,-0.11,15.07,7.61,33.7,Foot Liftoff
4.71,-0.1,0.12,0.02,-1.05,-12.69,40.77,Foot Liftoff
4.75,-0.1,0.01,-0.01,-3.79,-6.67,49.75,Foot Liftoff
4.79,-0.18,0,-0.07,-12.58,-8.84,70.12,Foot Liftoff
4.83,-0.28,0,-0.07,-15.35,-12.55,79.95,Heel Landing
4.88,-0.43,-0.03,-0.09,-12.66,-14.68,82.8,Heel Landing
4.92,-0.55,-0.22,-0.14,-15.8,-18.51,81.41,Heel Landing
4.97,-0.39,-0.52,-0.32,-12.22,-16.13,60.45,Heel Landing
5.01,-0.13,-0.52,-0.22,18.91,6.12,8.39,Foot Landing
5.05,0.04,0.17,0.11,-4.89,13.34,-27.8,Foot Landing
5.09,-0.26,-0.1,0.04,-24.03,5.98,-48.67,Foot Landing
5.14,-0.29,-0.14,-0.09,17.75,17.72,-29.67,Foot Landing
5.18,-0.23,-0.03,-0.21,-2.99,6,-27.08,Foot Landing
5.22,-0.25,-0.13,-0.1,2.52,8.13,-15.51,Foot Landing
5.26,-0.25,-0.04,-0.12,3.39,6.48,-8.76,Foot Landing
